SIO2(WT%),AL2O3(WT%),FEOT(WT%),MGO(WT%),CAO(WT%),NA2O(WT%),K2O(WT%),TIO2(WT%),CR2O3(WT%)
61.7,17.4,5.08,2.18,4.95,4.4,2.25,0.65,0.00263088
59.5,17.25,5.62,2.81,5.8,4.2,2.09,0.83,0.00643104
58,16.8,6.07,3.63,6.45,3.98,2.05,0.92,0.01052352
60.2,16.9,5.15,2.56,4.93,4.2,2.28,0.75,0.0058464
61.8,17.55,4.98,2.12,5.03,4.3,2.33,0.64,0.0021924
63,17.35,4.43,1.58,4.46,4.62,2.48,0.54,0.00116928
62,17.25,5.07,2.44,5.4,4.11,2.16,0.63,0.00394632
58.3,17.16,5.85,3.2,6,4.12,2.06,0.84,0.0080388
60,17.45,5.21,2.55,5.45,4.15,2.14,0.62,0.0021924
59,17.35,5.76,3.07,5.9,4.12,2.02,0.77,0.0043848
59,17.45,5.91,3.23,6.28,4.02,2.1,0.82,0.0065772
58,17.1,6.21,3.66,6.28,4.19,2.09,0.95,0.00935424
58.8,17.75,5.94,2.99,6.14,4.07,2.07,0.76,0.00233856
58.2,17.3,6.1,3.02,6.05,3.9,2,0.77,0.00263088
62.1,16.15,5.11,2.41,4.64,4.29,2.96,0.92,0.00613872
60.2,17.31,5.37,2.54,5.07,4.24,2.23,0.69,0.00380016
60.1,17.55,5.74,2.82,5.55,4.25,2.11,0.73,0.00555408
61,17.15,5.22,2.56,5.24,4.4,2.26,0.68,0.00526176
59,17.55,5.99,3.26,5.95,4.24,2.02,0.81,0.00745416
59,16.72,5.67,2.95,5.67,4.24,2.37,0.92,0.00920808
57.86,17.53,5.97,2.95,5.86,4.18,2.1,0.77,0.00248472
59.15,17.6,5.74,2.97,5.85,4.43,2.05,0.87,0.00833112
58.3,17.54,6.26,3.35,6.1,4.34,2.04,0.86,0.00526176
57.3,17.1,6.12,3.43,5.94,4.2,2.08,0.94,0.01227744
58.85,16.9,5.72,3.23,5.6,4.3,2.27,0.88,0.00862344
60,16.9,5.71,3,5.6,4.24,2.35,0.85,0.00496944
57.9,16.8,5.76,2.97,5.78,4.04,2.4,0.95,0.0080388
58.5,17.6,6.18,3.29,6.2,4.2,2.08,0.85,0.00394632
59.15,17.6,5.74,2.97,5.85,4.43,2.05,0.87,0.00833112
59.85,17,5.62,2.97,5.25,4.4,2.57,0.81,0.0087696
56,16.9,6.33,3.55,6.33,3.98,2.48,0.89,0.00613872
59.2,17.4,5.87,3.12,5.9,4.5,2,0.85,0.00964656
60.2,16.8,6.07,3.6,5.47,4,2.11,0.87,0.01344672
60.2,16.7,5.08,2.63,5.32,4.3,2.55,0.73,0.0043848
63,16,4.54,2.24,4.8,4.1,2.78,0.68,0.00482328
58.5,17.1,5.91,3.12,5.65,4.25,2.06,0.85,0.00789264
57.3,17.6,6.48,3.7,6.4,4.14,1.87,0.83,0.0065772
61.15,17.25,5.35,2.38,4.68,4.12,2.52,0.75,0.007308
60.2,17.31,5.37,2.54,5.07,4.24,2.23,0.69,0.00380016
59.5,17,6,3.4,5.43,4.09,2.24,0.87,0.0138852
60,16.9,5.4,2.63,5.1,4.15,2.34,0.79,0.00380016
58.2,17.58,6.05,3.14,5.97,4.24,2.06,0.8,0.00336168
60.15,17.5,5.54,2.67,5.34,4.39,2.3,0.78,0.003654
60.3,17.5,5.38,2.53,5.26,4.48,2.27,0.75,0.00336168
59,17,5.9,3.22,5.6,4.38,2.25,0.89,0.0095004
61.8,17.25,4.9,2.38,5.16,4.14,2.25,0.62,0.003654
59.7,17.6,5.89,2.64,5.75,4.15,2.03,0.7,0.00306936
60.4,17.5,5.47,2.73,5.48,4.28,2.32,0.79,0.00380016
58.8,17.5,5.84,3.14,6.04,4.4,2,0.86,0.01052352
57.5,17.3,6.22,3.63,6.3,4.55,2.4,0.87,0.00774648
61,17.2,5.4,2.64,5.17,4.39,2.57,0.79,0.00716184
62.6,16.2,4.55,2.32,4.55,3.85,2.58,0.61,0.00496944
59.6,17.05,5.8,3.12,5.41,4.24,2.55,0.87,0.01066968
58,17.6,5.88,3.09,6.12,4.22,2.06,0.79,0.00277704
59.5,17,5.8,3,5.9,4.21,1.99,0.82,0.00453096
59.8,17.05,5.79,3.05,5.12,4.38,2.54,0.87,0.00964656
51.59,18.46,8.85,5.53,9.88,3.1,0.59,1.05,0.014616
51.2,18.41,8.76,5.7,10,3.12,0.58,1.02,0.01344672
51.45,18.22,8.95,5.52,9.92,3.13,0.59,1.04,0.01330056
51.2,18.2,9,5.83,9.89,3.06,0.56,1.01,0.01271592
51.26,18.16,9.04,6.13,9.86,3.05,0.54,0.99,0.01359288
67.36,14.31,4.3,0.85,2.59,4.85,2.6,0.76,0.00248472
52.5,19.01,8.96,4.79,9.11,3.29,0.72,0.94,0.01008504
53.05,18.26,8.91,4.55,8.84,3.42,0.71,0.95,0.0058464
60.64,17.24,6.11,2.09,5.29,4.68,1.49,1,0.00116928
67.6,13.87,4.71,0.84,2.74,5.46,2.61,0.8,0.00131544
69.12,14.38,4.55,0.69,2.23,5.25,2.71,0.7,8.51E-05
69.17,14.1,5.02,0.61,1.95,5.14,2.77,0.92,0.0007308
68.72,13.73,5.29,0.69,2.15,5.14,2.73,0.71,0.000787802
48.71,17.5,9.14,5.92,9.4,4.01,1.48,1.91,0.03010896
49.03,16.95,9.4,6.53,9.01,3.89,1.48,1.81,0.03376296
48.91,16.98,9.47,6.48,8.91,3.95,1.52,1.8,0.03054744
48.17,17.05,9.7,6.65,9.29,3.87,1.42,1.87,0.03040128
48.39,17.45,9.39,6.63,9.91,3.33,1.19,1.83,0.03522456
49.05,16.84,9.47,6.67,8.92,3.87,1.47,1.8,0.03493224
49.41,17.44,9.69,6.23,8.48,3.36,1.43,1.91,0.02733192
48.54,17.13,9.69,6.52,9.22,3.61,1.45,1.91,0.02879352
48.36,16.36,9.82,6.43,8.89,3.82,1.51,1.81,0.03186288
48.74,17.03,9.8,6.53,9.12,4.04,1.56,1.85,0.03113208
48.03,16.93,9.38,6.17,8.97,3.58,1.49,1.81,0.02309328
48.14,16.84,9.38,6.17,8.97,3.65,1.46,1.77,0.0241164
54.56596161,15.5169688,7,5.344817919,7.504119129,3.470529812,3.225465418,1.062322933,0.025653552
54.63696274,15.48955023,6.83,5.493330655,7.457815423,3.468835571,3.342194517,1.070915326,0.025567395
52.75,16.47,9.23,5.69,8.24,3.75,1.44,1.76,0.00087696
61.25,17.2,5.29,2.35,5.15,4.35,2.43,0.61,0.00233856
58.6,17.55,6.03,2.97,6.07,4.47,2.14,0.74,0.00350784
59.1,17.6,5.94,2.89,6.08,4.38,2.16,0.72,0.00285012
58.6,17.65,6.23,2.98,6.15,4.48,2.09,0.75,0.00380016
58,17.6,6.24,3.2,6.35,4.4,2.02,0.76,0.0043848
56.3,17.7,6.75,3.73,6.82,4.39,1.83,0.83,0.0058464
57.3,17.7,6.36,3.37,6.39,4.38,2.01,0.76,0.0043848
54.6,17.72,7.41,4.63,7.6,4.16,1.6,0.9,0.01008504
53.4,17.42,7.88,5.26,7.82,4.04,1.53,0.95,0.01446984
56.2,17.74,6.78,3.89,7,4.39,1.75,0.85,0.00672336
55.2,17.92,7.04,4.13,7.04,4.46,1.74,0.89,0.00760032
55.25,18.1,6.9,4.04,7.1,4.49,1.73,0.88,0.007308
54.9,17.6,7.38,4.3,7.4,4.28,1.66,0.95,0.00906192
53.8,17.7,7.81,4.84,7.7,4.2,1.58,0.98,0.01008504
67.5,16.05,3.01,1.38,3.3,4.49,1.98,0.31,0.005502924
61,15.75,6.07,4.35,6,3.9,1.07,0.56,0.029321158
61.7,16,5.26,3.02,5.47,4.31,2.33,0.78,0.007427851
61.1,16.85,6.12,2.7,6.1,3.42,1.5,0.51,0.000735185
58.1,17.25,6.62,4,6.85,3.55,1.16,0.62,0.008467049
61.2,16.7,5.49,2.73,6.05,3.68,1.14,0.57,0.007308
61,16.7,5.58,2.8,6.05,3.7,1.21,0.58,0.00847728
61.5,16.75,5.38,2.53,5.65,3.65,1.27,0.57,0.0043848
62.9,17.15,5.25,2.27,5.96,3.95,1.22,0.56,0.0029232
62.5,16.8,5.61,2.87,6.4,3.7,1.15,0.57,0.006021792
59.1,16.85,5.97,3.7,6.41,4.19,1.18,0.71,0.0102312
58.75,16.95,6.21,3.26,6.47,4.25,1.58,0.85,0.00643104
57.6,17,6.41,4.18,6.66,4.23,1.31,0.86,0.0160776
59,17.2,5.82,3.14,6.11,4.22,1.29,0.75,0.00409248
57.6,17.5,6.23,4.03,6.65,4.1,1.32,0.8,0.01198512
55.5,16.85,7.38,5.3,7.65,3.7,1.01,0.93,0.0233856
56.2,17.4,6.84,4.18,6.95,4.19,1.16,0.93,0.010962
57.5,17.82,6.37,3.67,6.55,4.16,1.3,0.82,0.00453096
58.8,17,5.67,3.64,5.35,3.75,1.55,0.76,0.01417752
59,16.9,5.58,3.79,5.6,3.95,1.54,0.75,0.0160776
57.6,17.15,6.21,3.9,6.4,4,1.2,0.81,0.00979272
58.2,17.1,6.48,3.97,6.7,4.26,1.22,0.82,0.01066968
58,16.05,6.57,4.91,6.64,3.93,1.42,0.82,0.02426256
57.4,16.1,6.7,5.29,7.41,3.85,1.25,0.75,0.02236248
60.7,17,5.31,1.91,5.25,4.4,1.8,0.84,0.00116928
58,18.5,5.69,2.58,6.9,4.34,1.4,0.82,0.00263088
59.6,16.3,5.76,3.89,6.4,4.21,1.48,0.77,0.01183896
55.6,14.9,7.02,7.52,7.4,3.4,1.22,0.74,0.04121712
55.25,15.75,7.22,5.7,7.95,3.44,1.55,0.75,0.0248472
55.3,15.38,7.11,5.72,8.08,3.57,1.67,0.73,0.025578
57,17.5,6.53,3.87,6.8,3.97,1.24,0.82,0.00686952
60.5,17,5.45,3,5.85,4.25,1.42,0.71,0.00599256
61.5,16.2,5.29,3.24,5.9,4,1.58,0.68,0.01081584
60.3,16.6,5.67,3.7,6.3,4.1,1.4,0.72,0.0087696
59.9,17.88,5.77,2.86,6.1,4.35,1.35,0.8,0.00131544
55.8,18,7.38,3.84,7.04,3.48,0.78,0.81,0.00482328
58.8,17.8,5.85,2.56,5.9,4.32,1.24,0.76,0.0014616
56.1,17.34,6.98,4.11,7.2,3.78,1.1,0.87,0.00789264
56.95,17.42,6.62,3.76,6.8,4.13,1.18,0.85,0.0065772
57.6,17.9,6.38,3,6.65,4.18,1.14,0.79,0.0029232
56.9,17.7,6.57,3.64,6.75,4.24,1.22,0.87,0.00613872
56.5,15.85,6.73,5.08,7.36,3.46,1.41,0.73,0.01929312
62.8,16.2,4.9,3.05,5.2,4.1,1.7,0.66,0.00993888
59,16.95,5.65,3.18,6.1,4.28,1.26,0.8,0.00526176
59,16.85,5.85,3.42,6.35,4.37,1.29,0.81,0.00628488
61.1,16.25,5.27,3.43,5.9,3.98,1.58,0.69,0.01154664
61.1,16.3,5.17,3.36,5.85,3.97,1.6,0.68,0.01154664
61.1,16.2,5.13,3.1,5.6,4.13,1.74,0.7,0.00906192
60.4,16.45,5.73,3.57,5.9,4.18,1.64,0.76,0.01081584
59.4,15.95,5.7,4.16,6.56,3.78,1.61,0.69,0.01622376
58.15,16.9,6.48,4.12,6.5,4.27,1.32,0.83,0.01403136
59.1,16.02,5.96,4.21,6.52,3.88,1.58,0.71,0.01549296
59.1,16.05,5.95,4.27,6.67,3.91,1.6,0.71,0.01593144
57.25,17.2,6.59,3.5,6.8,3.74,1.48,0.83,0.00306936
58.4,17,5.98,3.02,6.22,4.08,1.39,0.76,0.00190008
59.1,16.7,5.75,3,5.96,4,1.47,0.7,0.0029232
59.5,16.4,5.76,3.98,6.5,4.2,1.5,0.77,0.01198512
59.5,16.28,5.88,4.18,6.6,4.05,1.47,0.77,0.0131544
60.8,17.4,5.62,2.82,6.2,4.49,1.3,0.79,0.0021924
60.5,17.05,5.71,3.14,6.14,4.42,1.35,0.75,0.0043848
58.1,16.75,6.57,4.23,6.78,3.98,1.34,0.84,0.01227744
60.3,17.2,5.61,3.06,5.85,4.46,1.37,0.74,0.00423864
60.4,17.3,6.12,2.67,6.28,4.16,1.43,0.69,0.00102312
63.4,16.85,4.45,2,4.92,4.54,1.65,0.54,0.00204624
60.6,17.6,5.36,2.55,5.85,4.57,1.35,0.77,0.00190008
57.3,17.95,6.48,3.36,6.85,4.42,1.22,0.85,0.00467712
59.3,18,6.12,2.9,6.27,4.48,1.25,0.79,0.00102312
57.5,17.75,6.88,3.47,6.9,4.15,1.26,0.86,0.00321552
61.5,16.35,5.31,3.36,5.5,4.3,1.49,0.74,0.01227744
62.3,17.18,4.88,2.22,5.42,4.43,1.39,0.63,0.00204624
60.7,17.2,5.67,2.62,5.95,4.45,1.29,0.81,0.00263088
59.7,16.05,6.08,4.24,6.1,4.02,1.69,0.78,0.02017008
58.9,17.6,6.25,3.18,6.2,4.27,1.14,0.86,0.00263088
60.8,17.35,5.28,2.7,5.59,4.33,1.28,0.66,0.00263088
63.9,16.7,4.37,1.9,4.44,4.58,2.03,0.69,0.00263088
59.5,17.1,5.88,3.66,6.39,4.23,1.35,0.72,0.00701568
55.6,15.74,7.09,5.63,8,3.58,1.66,0.74,0.0248472
55.25,16.05,7.04,5.45,7.88,3.62,1.93,0.77,0.02221632
60,17.9,5.69,2.14,5.7,4.57,1.72,0.89,0.00065772
58.4,16.14,6.59,5.08,6.57,3.82,1.44,0.82,0.02543184
56.8,18.4,6.66,2.95,6.45,4.31,1.52,0.98,0.00263088
55.7,18.2,7.06,3.72,6.96,4.36,1.26,1.01,0.00350784
57.9,17.42,6.12,4,6.6,4.21,1.39,0.79,0.01198512
57.5,17.24,6.41,4.2,6.56,4.16,1.35,0.88,0.01563912
57,17.26,6.55,4.55,7.06,4.21,1.15,0.88,0.01446984
59.3,17.4,5.9,2.85,6.07,4.21,1.28,0.8,0.00190008
59.1,17.1,6.18,2.95,6.1,4.18,1.25,0.83,0.00248472
59.5,17.2,6.08,2.92,6.18,4.36,1.29,0.83,0.00306936
59.3,17.08,6.3,3.02,6.23,4.2,1.23,0.88,0.00277704
59.75,17.25,5.61,2.68,6.02,4.36,1.29,0.8,0.00248472
59,17.6,6.12,2.99,6.38,4.42,1.2,0.82,0.00190008
63,16.15,5.26,3.15,5.15,4.05,1.85,0.67,0.00979272
60.1,16.6,5.83,3.65,5.77,4.12,1.68,0.75,0.01227744
61.5,16.55,5.4,3.35,5.65,4.1,1.63,0.7,0.00993888
61.3,16.5,5.51,3.32,5.48,4.24,1.73,0.71,0.0095004
63.2,16.8,4.63,2.12,4.7,4.75,1.8,0.56,0.00394632
64,16.9,4.59,2.05,4.64,4.75,1.75,0.55,0.00350784
59.9,17.35,5.44,3.27,5.94,4.5,1.4,0.63,0.0043848
57.4,17.9,6.43,2.93,6,4.7,1.53,0.92,0.00277704
59.6,17.1,5.62,3.01,6,4.4,1.4,0.73,0.00321552
60.2,17.5,5.67,2.7,5.8,4.4,1.38,0.75,0.00160776
56,17.7,6.7,4.03,6.6,4.2,1.3,0.87,0.0051156
57.2,18.6,6.33,3.05,6.5,4.63,1.36,0.87,0.00190008
59.3,17.72,5.82,2.83,6.1,4.3,1.3,0.84,0.00160776
57.6,17.8,6.7,3.23,6.62,4.17,1.18,0.82,0.00131544
57.8,17.55,6.9,3.38,6.8,4.1,1.14,0.82,0.00160776
57.7,17.95,6.61,3.18,6.57,4.25,1.18,0.81,0.00124236
58,17.7,6.77,3.31,6.76,4.12,1.15,0.83,0.0014616
59.8,15.75,6.45,4.65,6.63,3.45,1,0.63,0.02250864
64.8,15.33,4.21,1.91,3.88,4.55,1.96,0.53,0.011255782
59.57,16.03,6.2,4.77,6.5,3.53,1.08,0.6,0.035695195
58.83,16.49,6.39,4.19,6.71,3.29,1.26,0.58,0.017249803
60.5,16.76,5.46,2.8,5.94,3.9,1.17,0.57,0.007471699
61.87,17.15,5.48,2.61,5.94,4,1.2,0.58,0.004063248
61.92,17.26,5.35,2.46,5.85,3.99,1.2,0.56,0.003273984
61.82,17.04,5.46,2.44,5.87,3.98,1.18,0.58,0.003592613
60.76,16.99,5.29,2.57,5.83,3.9,1.19,0.55,0.004745815
61.52,17.18,5.27,2.51,5.85,3.95,1.23,0.56,0.003721234
61.61,17.06,5.3,2.61,5.94,3.96,1.18,0.54,0.004779432
57.84,18,6.49,3.55,6.9,4.05,1.07,0.73,0.007033219
61.65,17.06,5.34,2.4,5.8,3.93,1.25,0.56,0.002812118
61.24,16.9,5.7,2.91,6.09,3.84,1.15,0.58,0.007188149
60.75,16.97,5.63,2.87,6.12,3.9,1.16,0.57,0.006881213
58.82,16.19,6.32,4.38,6.63,3.51,1.09,0.6,0.02751462
57.4,17.5,6.87,3.74,7.05,3.69,1.41,0.75,0.00540792
57.9,17.55,6.86,3.71,7.3,3.6,1.4,0.74,0.00540792
57.4,17.94,6.9,3.43,6.96,3.83,1.23,0.73,0.00277704
61.2,16.7,5.49,2.73,6.05,3.68,1.14,0.57,0.0029232
61.2,16.7,5.49,2.73,6.05,3.68,1.14,0.57,0.0021924
58.4,17.85,6.75,2.92,6.73,3.85,1.3,0.61,0.00190008
58.2,17.65,6.74,3.51,7,3.77,1.46,0.76,0.00306936
61.8,16.55,5.42,2.37,5.4,3.75,2.09,0.62,0.00233856
62.9,16.5,5.5,2.47,5.29,3.82,2.21,0.65,0.00248472
56.3,17.28,7.69,3.97,6.56,3.1,1.4,0.75,0.0058464
60,16.95,5.99,2.6,5.71,3.7,1.8,0.64,0.0021924
59.3,16.98,6.24,3,5.84,3.51,1.79,0.67,0.003654
56.7,17.75,7.13,4.03,7.56,3.41,1.25,0.74,0.0051156
56.45,17.95,7.29,3.41,6.43,3.53,1.35,0.96,0.00380016
56,18,7.36,4.19,8.04,3.33,1.12,0.79,0.00599256
57.75,17.05,6.51,3.72,6.38,3.86,1.55,0.83,0.0116928
59.35,17.3,6.38,3.18,6.35,3.82,1.65,0.73,0.00350784
59,17.22,6.44,3.22,6.5,3.74,1.63,0.74,0.00380016
60.6,16.4,5.8,2.97,5.73,3.63,1.67,0.74,0.003654
58,17.49,6.66,3.46,6.81,3.84,1.45,0.75,0.00380016
58.3,17.25,6.35,3.1,6.43,3.69,1.56,0.72,0.00321552
56.6,17.85,7.2,3.89,7.51,3.43,1.24,0.77,0.00482328
53.68,18.73,7.49,4.57,7.2,4.05,1.4,0.98,0.013184008
55.4,18.8,7.18,3.41,6.6,4.29,1.42,1.02,0.00248472
64.7,17.15,4.02,1.36,4.28,4.37,2.33,0.53,0.00175392
63.52,17.39,4.17,1.42,3.45,3.95,2.4,0.55,0.001783619
57.7,19.3,5.69,2.21,5.71,4.63,1.84,0.81,0.00226548
65.2,16,3.76,1.73,3.9,3.98,2.74,0.53,0.003654
63.89,16.38,4.17,2.07,4.52,3.89,2.61,0.57,0.005325171
56.35,20,6.07,2.16,6.3,4.75,1.82,0.89,0.00263088
55.2,18.55,7.42,4,7.25,4.07,1.31,1.02,0.00482328
57.2,18.8,5.98,2.74,6.25,4.45,1.82,0.88,0.00336168
55.8,16.85,6.7,4.59,7.05,3.72,1.48,0.87,0.01403136
55.65,17.35,7.27,4.43,6.8,3.75,1.37,0.96,0.01037736
54.2,17.95,7.24,4.3,7.28,3.93,1.56,0.94,0.01256976
55.8,18.5,7.02,3.54,6.52,4.44,1.71,0.94,0.00964656
55.4,17.5,7.55,4.16,6.9,3.86,1.62,0.95,0.00833112
57.6,18.35,6.43,2.95,6.52,4.25,1.6,0.85,0.00409248
55.2,16.76,7.5,5.24,7.08,3.62,1.44,0.87,0.014616
59.2,17.95,6.05,2.77,5.8,4.43,1.96,0.81,0.00423864
56.2,17.9,6.87,3.3,6.58,4.07,1.67,0.9,0.00394632
54.55,18.15,7.3,4.4,6.75,4.2,1.55,0.95,0.011666491
55.91,16.89,6.25,4.92,7.34,3.88,1.42,0.92,0.016109801
57.21,18.66,5.94,2.93,6.44,4.43,1.78,0.91,0.003856459
55.57,18.45,6.57,4.24,7.67,4.02,1.3,1.06,0.005833544
55.77,17.23,6.52,4.92,7.23,3.82,1.77,0.9,0.01953573
57.33,17.62,5.8,4.33,6.92,4.13,1.84,0.87,0.013726613
68.1,15.9,3.19,0.99,3.77,4.4,1.45,0.36,0.000325937
59.8,15.65,5.94,4.45,6.35,3.85,1.65,0.6,0.017661974
58,17.6,6.21,3.52,6.98,3.6,1.26,0.62,0.002135398
61.4,17.5,5.45,2.43,6.37,3.86,0.94,0.48,0.001737842
59.4,17.3,5.98,3.24,6.75,3.66,1.15,0.56,0.002541722
62.7,15.58,4.54,3.42,4.86,3.79,1.79,0.53,0.018353311
58,15.95,6.66,4.98,7.3,3.38,1.03,0.59,0.027073217
56.7,17.75,7.11,4.47,7.58,3.88,0.93,0.66,0.004329259
46.6,14.7,9.63,10.25,11.4,2.54,1.11,1.31,0.066203172
58,18.45,4.84,1.64,4.94,5.77,3.4,0.64,0.001209124
56,16.92,8.32,3.67,7.55,2.95,1.68,0.75,0.00058464
55.5,17.4,8.18,3.67,7.42,2.89,0.91,0.73,0.00058464
54.85,17.25,8.54,3.95,7.88,2.87,1.3,0.68,0.00087696
57,17.1,7.74,3.45,7.2,3.35,1.88,0.75,0.00058464
56.6,16.8,7.2,3.2,6.86,3.3,2.26,0.76,0.00175392
55.25,16.9,8.37,3.76,7.3,2.98,1.84,0.77,0.00175392
55.35,16.9,8.19,3.66,7.9,2.87,1.45,0.75,0.00087696
56.4,16.85,7.68,3.39,7.15,3.15,1.86,0.75,0.00043848
56.2,16.75,7.83,3.5,7.36,2.95,1.8,0.75,0.00043848
56.6,17,7.74,3.39,7.4,3.05,1.8,0.75,0.00087696
57.1,17.2,7.51,3.19,7.2,3.2,1.7,0.71,0.00058464
57.25,17.35,7.62,3.23,7.4,3.18,1.68,0.72,0.00058464
59.5,17.45,6.12,2.49,6.12,3.4,1.88,0.61,0.00087696
55.9,17.35,7.92,3.48,7.15,2.95,1.62,0.75,0.00058464
56.7,17.7,8.19,3.57,7.8,3.08,0.96,0.68,0.00124236
56.35,17.6,8.31,3.64,7.74,2.98,0.92,0.69,0.00116928
55.3,17.1,8.19,3.64,7.6,2.86,1.77,0.75,0.00102312
55.7,17.2,8.13,3.55,7.45,3,1.78,0.73,0.0007308
55.1,17.6,8.37,3.76,7.88,2.94,1.35,0.68,0.00095004
55.45,17.4,8.28,3.81,7.84,2.92,1.3,0.71,0.00095004
55.8,17.85,7.74,3.54,7.45,2.94,0.84,0.65,0.001401674
55.3,17,8.21,3.68,7.47,2.95,1.85,0.76,0.001255514
56.9,16.85,7.7,3.35,7.35,3.12,1.85,0.76,0.00058464
56.5,16.8,7.5,3.18,7.1,3.05,2.04,0.76,0.00058464
56.3,17,7.65,3.44,7.4,3.05,1.8,0.75,0.00058464
56.4,17,7.38,3.28,7.02,3.27,2.34,0.78,0.00226548
57.1,16.6,7.11,3.19,7,3.18,2.37,0.76,0.0021924
61.6,16.55,5.44,3.4,5.8,4.24,1.01,0.55,0.014686157
61.3,16.5,4.98,2.42,5.65,4.34,0.96,0.53,0.003712464
49.1,13,8.39,9.55,8.9,1.98,3.9,1.61,0.067506919
64.5,16.25,3.96,2.04,4.32,4.54,1.59,0.46,0.003654
64.4,16.6,3.73,1.94,4.35,4.74,1.57,0.45,0.00306936
65.4,15.9,4.1,2.28,4.64,4.35,1.5,0.48,0.00453096
64.25,16.1,3.8,2.05,4.3,4.57,1.6,0.47,0.00350784
65.5,16.65,3.65,1.77,4.3,4.7,1.53,0.43,0.00263088
64.6,17,3.6,1.8,4.25,4.85,1.59,0.47,0.00248472
64,16.6,4.5,2.5,5.1,4.42,1.42,0.51,0.00555408
65.5,16.65,3.65,1.77,4.3,4.7,1.53,0.43,0.00222017
58.6,17.55,6.03,2.97,6.07,4.47,2.14,0.74,0.00298751
61.25,17.2,5.29,2.35,5.15,4.35,2.43,0.61,0.001834308
54.2,17.75,7.51,4.86,7.75,4.16,1.58,0.91,0.011352247
56.2,16.52,7.09,4.85,8,3.54,1.39,0.87,0.01695456
56.3,16.32,7.06,5.47,7.3,3.7,1.49,0.88,0.03200904
56.3,16.5,7.02,4.9,7.9,3.6,1.38,0.86,0.0190008
57.15,16.6,6.66,4.52,6.75,3.76,1.68,0.88,0.02163168
57.7,16.85,6.66,4.27,6.81,3.97,1.74,0.88,0.01563912
57.4,16.55,6.68,4.52,6.6,3.9,1.75,0.89,0.0211932
57.3,16.36,6.66,4.56,6.68,3.88,1.73,0.88,0.0211932
58,16.8,6.69,4.29,6.92,3.94,1.71,0.89,0.01666224
57.9,16.8,6.59,4.33,6.88,3.95,1.69,0.87,0.01636992
58,16.55,6.7,4.47,6.87,3.89,1.7,0.88,0.01666224
58.2,16.45,6.51,4.57,6.65,3.9,1.71,0.86,0.0197316
61.3,16.2,5.45,3.65,5.66,3.95,2.09,0.71,0.01636992
61.3,16.2,5.45,3.65,5.66,3.95,2.09,0.71,0.01636992
61.4,16.1,5.62,2.9,5.3,4.05,2.28,0.77,0.00993888
62.4,16.5,5.22,2.66,5.29,4.15,2.38,0.72,0.00862344
63,15.15,4.72,2.43,4.5,3.78,2.68,0.65,0.00935424
64.5,15.5,4.23,2.25,4.3,4.1,2.51,0.57,0.00891576
65,16.2,3.87,1.63,3.85,4.5,2.67,0.54,0.00321552
65.7,16.2,3.82,1.56,3.9,4.52,2.75,0.53,0.00306936
60.99,16.39,5.36,2.39,4.79,4,3.08,0.93,0.00175392
60.59,16.23,5.06,2.48,4.7,4.39,3.29,0.95,0.0029232
59.35,16.01,6.22,3.4,5.49,3.98,2.9,1.14,0.01140048
57.11,16.84,6.72,3.24,5.95,4.31,2.97,1.39,0.0021924
61.65,16.05,5.88,2.54,4.62,3.82,3.05,0.93,0.00116928
52.13,16.13,8.38,4.9,8.1,4.14,2.21,1.66,0.0065772
60.24,16.73,5.34,2.45,5.09,4.8,3.24,1.01,0.00336168
62.32,16.47,5.2,2.14,4.58,4.39,3.05,0.91,0.0007308
61.11,16.37,5.63,2.59,4.92,4.22,2.98,1.04,0.00248472
50.88,17.68,8.65,7.46,8.8,3.33,0.79,0.98,0.021924
52.56,19.31,7.94,5.01,9.4,3.56,0.7,1.05,0.010406592
51.8,18.77,8.21,5.76,9.39,3.41,0.67,1.01,0.013724424
51.66,18,8.78,5.75,8.86,3.62,0.81,1.14,0.0204624
52.28,20.17,6.56,3.52,9.73,3.71,0.67,1.06,0.00409248
52.2,19.5,6.69,4.29,9.01,4.01,0.73,1.1,0.00745416
52.1,19.5,7.27,3.7,9.4,3.79,0.72,1.11,0.00526176
52.45,18.42,7.89,5.68,9.24,3.43,0.81,1.02,0.01585836
52.06,19.09,7.94,5.25,9.48,3.42,0.7,1.01,0.012335904
51.48,19.69,8.11,4.89,9.08,3.75,0.81,1.05,0.0087696
52.1,20.11,6.76,3.47,10.01,3.76,0.66,1.1,0.00423864
52.83,19.72,8,3.56,9.25,3.78,0.71,1.11,0.004706352
53.75,20.22,6.93,3.73,8.81,3.74,0.83,0.93,0.004136328
60.76,16.34,7.31,2.19,5.17,4.97,1.52,1.06,0.000409248
54.34,17.25,9.43,3.79,7.85,4.21,0.89,1.41,0.003668616
56.4,16.92,8.97,2.92,6.87,4.49,1.2,1.41,0.000248472
52.81,20.05,7.8,3.73,9.49,3.68,0.7,1.07,0.005875632
60.85,16.74,6.87,2.08,5.03,5.13,1.48,1.02,0.000380016
53.11,18.82,7.63,5.56,9.27,3.38,0.73,0.93,0.013037472
55.12,16.8,9.14,3.49,7.29,4.3,0.99,1.39,0.002440872
52.61,20.5,7.12,3.57,9.69,3.62,0.74,0.97,0.006840288
54.89,16.83,9.98,3.4,7.38,4.36,0.87,1.36,0.000906192
53.55,19.58,7.81,3.14,9.04,3.89,0.8,1.15,0.004253256
